complete percentages,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,average
GA2\_ls,0.09,0.17,0.32,0.23,0.35,0.8,10.45,0.31,1.32,1.56
GA2,0.33,0.32,0.29,0.61,0.55,0.47,11.03,0.47,0.66,1.64
LBO\_ls,0.16,0.2,0.34,0.4,0.38,0.79,11.15,0.51,1.31,1.69
TLBO\_ls,0.12,0.23,0.46,0.42,0.44,0.8,11.02,0.66,1.32,1.72
jaya\_ls,0.35,0.33,0.38,0.69,0.54,0.82,11.6,0.85,1.18,1.86
LBO,0.51,0.55,0.49,0.93,0.82,0.73,11.71,0.81,0.72,1.92
TLBO,0.51,0.55,0.63,0.9,0.82,0.75,11.56,1.02,2.08,2.09
TBO\_ls,0.37,0.53,0.97,0.77,0.7,1.18,12.06,1.42,1.68,2.19
jaya,1.34,1.16,1.05,2.16,1.84,1.51,12.63,3.49,2.16,3.04
TBO,2.27,2.95,3.66,2.96,3.2,3.8,13.23,5.97,6.17,4.91
control,6.54,6.56,6.37,6.9,5.95,5.73,15.59,10.02,7.38,7.89
