complete percentages,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,average
GA2\_ls,0.09,0.43,1.47,0.3,0.84,2.24,10.78,2.56,3.47,2.46
TLBO\_ls,0.13,0.56,1.25,0.44,0.93,1.87,11.26,2.54,3.37,2.48
jaya\_ls,0.3,0.49,1.39,0.77,0.83,2.22,11.79,2.42,3.33,2.62
LBO\_ls,0.17,0.46,1.65,0.4,0.87,2.5,11.21,2.6,3.94,2.64
GA2,0.29,0.33,0.43,0.64,0.67,0.88,11.08,3.83,6.18,2.7
TBO\_ls,0.33,0.89,1.7,0.81,1.11,2.15,12.29,2.9,3.5,2.85
LBO,0.48,0.53,0.53,0.89,0.79,0.98,11.7,3.82,6.31,2.89
TLBO,0.53,0.54,0.96,0.9,0.95,2.01,11.4,6.74,6.73,3.42
jaya,1.5,1.3,1.02,2.26,1.89,1.66,12.73,4.72,5.75,3.65
TBO,2.19,2.94,4.01,2.84,3.3,4.38,13.35,8.3,6.94,5.36
control,6.5,6.67,6.33,6.72,5.76,5.78,15.64,10.14,7.36,7.88
