gigantic_search/5.json,GA2,GA30,T5_ls,TL1_ls,T10,TL1,TL20_ls,jaya,GA20,LS,T20,LF,T30_ls,GA10_ls,TL10,T5,jaya_ls,GA5_ls,TL10_ls,GA2_ls,GA10,GA20_ls,GA5,T1_ls,T30,LBO_ls,TL30_ls,TL5_ls,TL20,TL30,T10_ls,T20_ls,GA30_ls,T1,TL5,LBO,VND,G2JG4TL_ls,control,G2JG4TL
GA2,0,599.444444444444,845.7,694.5,1911.26666666667,672.055555555556,677.055555555556,826.122222222222,594.077777777778,1863.82222222222,1850.58888888889,2961.52222222222,787.1,611.977777777778,666.577777777778,1942.02222222222,699.733333333333,613.333333333333,683.4,662.8,595.288888888889,616.811111111111,597.277777777778,924.044444444444,1774.64444444444,662.466666666667,673.5,685.455555555556,659.722222222222,644.655555555556,831.744444444444,807.744444444444,607.533333333333,2166.27777777778,655.644444444444,616.2,1794.53333333333,635.488888888889,2987.57777777778,596.811111111111
GA30,599.444444444444,0,864.7,745.611111111111,1866.86666666667,666.411111111111,727.766666666667,831.544444444445,599.722222222222,1912.46666666667,1808.45555555556,2968.03333333333,811.455555555555,675.688888888889,648.177777777778,1895.4,757.755555555556,674.2,734.777777777778,723.555555555556,604.977777777778,679.811111111111,595.766666666667,959.733333333333,1730.88888888889,728.333333333333,720.9,734.411111111111,655.188888888889,648.055555555556,852.122222222222,829.788888888889,669.6,2167.7,637.511111111111,631.177777777778,1835.57777777778,702.888888888889,2993.73333333333,605.388888888889
T5_ls,845.7,864.7,0,820.111111111111,1841.9,868.666666666667,814.377777777778,1012.46666666667,853.822222222222,1823.01111111111,1779.86666666667,2873.57777777778,820.288888888889,813.788888888889,859.522222222222,1874.23333333333,865.433333333333,814.744444444444,811.655555555556,836.033333333333,840.3,812.688888888889,848.8,931.811111111111,1707.65555555556,838.544444444445,805.866666666667,816.533333333333,860.111111111111,852.333333333333,838.777777777778,824.555555555556,813.9,2088.82222222222,857.344444444444,857.922222222222,1753.63333333333,826.188888888889,2900.41111111111,851.044444444445
TL1_ls,694.5,745.611111111111,820.111111111111,0,2010.18888888889,808.888888888889,642.511111111111,886.022222222222,744.733333333333,1722.47777777778,1948.31111111111,2900.97777777778,774.133333333333,586.544444444445,811.633333333333,2040.27777777778,651.1,586.722222222222,639.766666666667,612.766666666667,733.766666666667,588.488888888889,719.177777777778,864.122222222222,1875.18888888889,611.322222222222,636.177777777778,641.8,807.444444444445,801.777777777778,815.888888888889,793.155555555556,585.5,2156.82222222222,801.166666666667,730.811111111111,1672.45555555556,604.944444444444,2927.78888888889,719.311111111111
T10,1911.26666666667,1866.86666666667,1841.9,2010.18888888889,0,1720.32222222222,2007.65555555556,1991.45555555556,1846.78888888889,2670.73333333333,1046.21111111111,2788.78888888889,1855.54444444444,2037.68888888889,1713.62222222222,1089.28888888889,2074.84444444444,2041.68888888889,2005.22222222222,2072.15555555556,1852.64444444444,2042.58888888889,1887.87777777778,2008.15555555556,1059.77777777778,2075.84444444444,1994.98888888889,2004.52222222222,1709.74444444445,1703.65555555556,1838.58888888889,1841.98888888889,2039.53333333333,1990.65555555556,1720.8,1891.77777777778,2546.6,2055.37777777778,2800.95555555556,1886.18888888889
TL1,672.055555555556,666.411111111111,868.666666666667,808.888888888889,1720.32222222222,0,791.422222222222,885.333333333333,637.511111111111,1977.96666666667,1657.84444444444,2962.48888888889,816.066666666667,762.477777777778,610.188888888889,1759.63333333333,842.7,766.055555555556,794.255555555556,806.9,638.477777777778,763,665.377777777778,1005.43333333333,1580.61111111111,815.188888888889,784.177777777778,799.111111111111,613.977777777778,607.933333333333,855.755555555556,834.177777777778,761.966666666667,2150.64444444444,603.3,682.122222222222,1889.63333333333,788.033333333333,2988.74444444444,667.555555555556
TL20_ls,677.055555555556,727.766666666667,814.377777777778,642.511111111111,2007.65555555556,791.422222222222,0,872.133333333333,725.711111111111,1730.05555555556,1944.48888888889,2904.28888888889,765.377777777778,574.122222222222,797.144444444444,2034.85555555556,644.477777777778,574.211111111111,630.188888888889,601.455555555556,714.611111111111,574.644444444444,706.355555555556,860.011111111111,1868.98888888889,599.722222222222,625,632.911111111111,795.688888888889,782.622222222222,807.644444444444,786.022222222222,575.433333333333,2154.06666666667,783.455555555556,716.9,1677.83333333333,590.122222222222,2931.47777777778,702.866666666667
jaya,826.122222222222,831.544444444445,1012.46666666667,886.022222222222,1991.45555555556,885.333333333333,872.133333333333,0,844.444444444444,1887.98888888889,1931.44444444444,2962.55555555556,966.444444444445,826.966666666667,895.277777777778,2017.92222222222,880.677777777778,829.211111111111,876.366666666667,856.744444444444,828.811111111111,822.088888888889,842.111111111111,1069.16666666667,1863.61111111111,848.344444444444,870.177777777778,874.533333333333,885.488888888889,888.711111111111,1003.17777777778,982.244444444445,821.944444444445,2218.91111111111,884.411111111111,839.122222222222,1826.07777777778,848.211111111111,2986.94444444444,841.244444444444
GA20,594.077777777778,599.722222222222,853.822222222222,744.733333333333,1846.78888888889,637.511111111111,725.711111111111,844.444444444444,0,1927.12222222222,1785.91111111111,2967.95555555556,798.377777777778,679.833333333333,639.611111111111,1875.27777777778,765.055555555556,675.211111111111,727.077777777778,725.544444444444,598.766666666667,678.755555555556,594.311111111111,961.9,1706.94444444444,730.855555555556,717.066666666667,737.666666666667,638.577777777778,639.066666666667,838.666666666667,818.2,669.055555555556,2162.97777777778,636.544444444445,626.677777777778,1848.23333333333,710.477777777778,2993.23333333333,603.466666666667
LS,1863.82222222222,1912.46666666667,1823.01111111111,1722.47777777778,2670.73333333333,1977.96666666667,1730.05555555556,1887.98888888889,1927.12222222222,0,2634.72222222222,1843.05555555556,1818.16666666667,1725.24444444445,1995.04444444444,2666.75555555555,1709.02222222222,1723.42222222222,1728.84444444444,1694.91111111111,1914.62222222222,1722.54444444444,1898.43333333333,1725.86666666667,2591.62222222222,1695,1733.1,1725.63333333333,1995.12222222222,1988.58888888889,1827.92222222222,1827.61111111111,1725.82222222222,2325.23333333333,1986.75555555556,1884.13333333333,991.977777777778,1709.77777777778,1851.86666666667,1891.47777777778
